#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Valeur de R (Ohm) : 
#Valeur de L (Henry) : 
#Valeur de C (Farad) : 
#Temps   Entree   Sortie-Solution   Sinus(sol exact)   
3.19   5   3.174   -0.04839
3.2   5   3.171   -0.05837
3.21   5   3.169   -0.06835
3.22   5   3.167   -0.07833
3.23   5   3.165   -0.08829
3.24   5   3.163   -0.09825
3.25   5   3.161   -0.1082
3.26   5   3.16   -0.1181
3.27   5   3.159   -0.1281
3.28   5   3.158   -0.138
3.29   5   3.157   -0.1479
3.3   5   3.156   -0.1577
3.31   5   3.156   -0.1676
3.32   5   3.156   -0.1775
3.33   5   3.156   -0.1873
3.34   5   3.156   -0.1971
3.35   5   3.156   -0.2069
3.36   5   3.157   -0.2167
3.37   5   3.157   -0.2264
3.38   5   3.158   -0.2362
3.39   5   3.159   -0.2459
3.4   5   3.161   -0.2555
3.41   5   3.162   -0.2652
3.42   5   3.163   -0.2748
3.43   5   3.165   -0.2844
3.44   5   3.167   -0.294
3.45   5   3.169   -0.3035
3.46   5   3.171   -0.3131
3.47   5   3.174   -0.3225
3.48   5   3.176   -0.332
3.49   5   3.179   -0.3414
3.5   5   3.182   -0.3508
3.51   5   3.185   -0.3601
3.52   5   3.188   -0.3694
3.53   5   3.191   -0.3787
3.54   5   3.195   -0.388
3.55   5   3.198   -0.3971
3.56   5   3.202   -0.4063
3.57   5   3.206   -0.4154
3.58   5   3.21   -0.4245
3.59   5   3.214   -0.4335
3.6   5   3.218   -0.4425
3.61   5   3.223   -0.4515
3.62   5   3.227   -0.4604
3.63   5   3.232   -0.4692
3.64   5   3.237   -0.478
3.65   5   3.242   -0.4868
3.66   5   3.247   -0.4955
3.67   5   3.252   -0.5042
3.68   5   3.258   -0.5128
3.69   5   3.263   -0.5213
3.7   5   3.269   -0.5298
3.71   5   3.274   -0.5383
3.72   5   3.28   -0.5467
3.73   5   3.286   -0.555
3.74   5   3.292   -0.5633
3.75   5   3.298   -0.5716
3.76   5   3.305   -0.5797
3.77   5   3.311   -0.5879
3.78   5   3.317   -0.5959
3.79   5   3.324   -0.6039
3.8   5   3.331   -0.6119
3.81   5   3.337   -0.6197
3.82   5   3.344   -0.6276
3.83   5   3.351   -0.6353
3.84   5   3.358   -0.643
3.85   5   3.366   -0.6506
3.86   5   3.373   -0.6582
3.87   5   3.38   -0.6657
3.88   5   3.388   -0.6731
3.89   5   3.395   -0.6805
3.9   5   3.403   -0.6878
3.91   5   3.41   -0.695
3.92   5   3.418   -0.7021
3.93   5   3.426   -0.7092
3.94   5   3.434   -0.7162
3.95   5   3.442   -0.7232
3.96   5   3.45   -0.7301
3.97   5   3.458   -0.7369
3.98   5   3.467   -0.7436
3.99   5   3.475   -0.7502
4   5   3.483   -0.7568
4.01   5   3.492   -0.7633
4.02   5   3.5   -0.7697
4.03   5   3.509   -0.7761
4.04   5   3.518   -0.7823
4.05   5   3.526   -0.7885
4.06   5   3.535   -0.7946
4.07   5   3.544   -0.8007
4.08   5   3.553   -0.8066
4.09   5   3.562   -0.8125
4.1   5   3.571   -0.8183
4.11   5   3.58   -0.824
4.12   5   3.589   -0.8296
4.13   5   3.598   -0.8352
4.14   5   3.607   -0.8406
4.15   5   3.616   -0.846
4.16   5   3.626   -0.8513
4.17   5   3.635   -0.8565
4.18   5   3.645   -0.8616
4.19   5   3.654   -0.8666
4.2   5   3.663   -0.8716
4.21   0   3.673   -0.8764
4.22   0   3.683   -0.8812
4.23   0   3.692   -0.8859
4.24   0   3.7   -0.8905
4.25   0   3.708   -0.895
4.26   0   3.716   -0.8994
4.27   0   3.723   -0.9037
4.28   0   3.73   -0.908
4.29   0   3.737   -0.9121
4.3   0   3.743   -0.9162
4.31   0   3.748   -0.9201
4.32   0   3.753   -0.924
4.33   0   3.758   -0.9278
4.34   0   3.762   -0.9315
4.35   0   3.766   -0.9351
