#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Choix des valeurs pour le circuit suivant :
#_____/\/\/\____  
#|      R      _|_
#E           C ---
#|______________|
#Valeur de R (Ohm) : 
#Valeur de C (Farad) : 
#Temps   Ve   Vs   
6.82   -1.6   0.1889
6.83   -1.65   0.171
6.84   -1.7   0.1528
6.85   -1.75   0.1343
6.86   -1.8   0.1155
6.87   -1.85   0.0963
6.88   -1.9   0.07684
6.89   -1.95   0.05707
6.9   -2   0.037
6.91   -2.05   0.01663
6.92   -2.1   -0.00404
6.93   -2.15   -0.025
6.94   -2.2   -0.04625
6.95   -2.25   -0.06779
6.96   -2.3   -0.08961
6.97   -2.35   -0.1117
6.98   -2.4   -0.1341
6.99   -2.45   -0.1568
7   -2.5   -0.1797
7.01   -2.45   -0.2029
7.02   -2.4   -0.2254
7.03   -2.35   -0.2471
7.04   -2.3   -0.2681
7.05   -2.25   -0.2885
7.06   -2.2   -0.3081
7.07   -2.15   -0.327
7.08   -2.1   -0.3452
7.09   -2.05   -0.3628
7.1   -2   -0.3796
7.11   -1.95   -0.3958
7.12   -1.9   -0.4114
7.13   -1.85   -0.4263
7.14   -1.8   -0.4405
7.15   -1.75   -0.4541
7.16   -1.7   -0.4671
7.17   -1.65   -0.4794
7.18   -1.6   -0.4911
7.19   -1.55   -0.5022
7.2   -1.5   -0.5127
7.21   -1.45   -0.5225
7.22   -1.4   -0.5318
7.23   -1.35   -0.5405
7.24   -1.3   -0.5486
7.25   -1.25   -0.5561
7.26   -1.2   -0.563
7.27   -1.15   -0.5694
7.28   -1.1   -0.5752
7.29   -1.05   -0.5805
7.3   -1   -0.5852
7.31   -0.95   -0.5893
7.32   -0.9   -0.5929
7.33   -0.85   -0.596
7.34   -0.8   -0.5985
7.35   -0.75   -0.6005
7.36   -0.7   -0.602
7.37   -0.65   -0.603
7.38   -0.6   -0.6035
7.39   -0.55   -0.6035
7.4   -0.5   -0.6029
7.41   -0.45   -0.6019
7.42   -0.4   -0.6004
7.43   -0.35   -0.5984
7.44   -0.3   -0.5959
7.45   -0.25   -0.5929
7.46   -0.2   -0.5895
7.47   -0.15   -0.5856
7.48   -0.1   -0.5812
7.49   -0.05   -0.5764
7.5   -5.773e-13   -0.5712
7.51   0.05   -0.5655
7.52   0.1   -0.5593
7.53   0.15   -0.5527
7.54   0.2   -0.5457
7.55   0.25   -0.5382
7.56   0.3   -0.5303
7.57   0.35   -0.522
7.58   0.4   -0.5133
7.59   0.45   -0.5042
7.6   0.5   -0.4946
7.61   0.55   -0.4847
7.62   0.6   -0.4743
7.63   0.65   -0.4636
7.64   0.7   -0.4525
7.65   0.75   -0.4409
7.66   0.8   -0.429
7.67   0.85   -0.4167
7.68   0.9   -0.4041
7.69   0.95   -0.391
7.7   1   -0.3776
7.71   1.05   -0.3638
7.72   1.1   -0.3497
7.73   1.15   -0.3352
7.74   1.2   -0.3204
7.75   1.25   -0.3052
7.76   1.3   -0.2896
7.77   1.35   -0.2737
7.78   1.4   -0.2575
7.79   1.45   -0.2409
7.8   1.5   -0.224
7.81   1.55   -0.2068
7.82   1.6   -0.1892
7.83   1.65   -0.1713
7.84   1.7   -0.1531
7.85   1.75   -0.1345
7.86   1.8   -0.1157
7.87   1.85   -0.09654
7.88   1.9   -0.07708
7.89   1.95   -0.05731
7.9   2   -0.03724
7.91   2.05   -0.01686
7.92   2.1   0.003806
7.93   2.15   0.02477
7.94   2.2   0.04602
7.95   2.25   0.06756
7.96   2.3   0.08938
7.97   2.35   0.1115
7.98   2.4   0.1339
7.99   2.45   0.1565
8   2.5   0.1795
8.01   2.45   0.2027
8.02   2.4   0.2251
8.03   2.35   0.2469
8.04   2.3   0.2679
8.05   2.25   0.2883
8.06   2.2   0.3079
8.07   2.15   0.3268
8.08   2.1   0.345
8.09   2.05   0.3626
8.1   2   0.3794
8.11   1.95   0.3957
8.12   1.9   0.4112
8.13   1.85   0.4261
8.14   1.8   0.4403
8.15   1.75   0.4539
8.16   1.7   0.4669
8.17   1.65   0.4792
8.18   1.6   0.4909
8.19   1.55   0.502
8.2   1.5   0.5125
8.21   1.45   0.5224
8.22   1.4   0.5316
8.23   1.35   0.5403
8.24   1.3   0.5484
8.25   1.25   0.5559
8.26   1.2   0.5629
8.27   1.15   0.5692
8.28   1.1   0.5751
8.29   1.05   0.5803
8.3   1   0.585
8.31   0.95   0.5892
8.32   0.9   0.5928
8.33   0.85   0.5958
8.34   0.8   0.5984
8.35   0.75   0.6004
8.36   0.7   0.6019
8.37   0.65   0.6029
8.38   0.6   0.6033
8.39   0.55   0.6033
8.4   0.5   0.6028
8.41   0.45   0.6017
8.42   0.4   0.6002
8.43   0.35   0.5982
8.44   0.3   0.5957
8.45   0.25   0.5928
8.46   0.2   0.5894
8.47   0.15   0.5855
8.48   0.1   0.5811
8.49   0.05   0.5763
8.5   6.839e-13   0.571
8.51   -0.05   0.5653
8.52   -0.1   0.5592
8.53   -0.15   0.5526
8.54   -0.2   0.5456
8.55   -0.25   0.5381
8.56   -0.3   0.5302
8.57   -0.35   0.5219
8.58   -0.4   0.5132
8.59   -0.45   0.5041
8.6   -0.5   0.4945
8.61   -0.55   0.4846
8.62   -0.6   0.4742
8.63   -0.65   0.4635
8.64   -0.7   0.4524
8.65   -0.75   0.4408
8.66   -0.8   0.4289
8.67   -0.85   0.4166
8.68   -0.9   0.404
8.69   -0.95   0.3909
8.7   -1   0.3775
8.71   -1.05   0.3637
8.72   -1.1   0.3496
8.73   -1.15   0.3351
8.74   -1.2   0.3203
8.75   -1.25   0.3051
8.76   -1.3   0.2895
8.77   -1.35   0.2736
8.78   -1.4   0.2574
8.79   -1.45   0.2408
8.8   -1.5   0.2239
8.81   -1.55   0.2067
8.82   -1.6   0.1891
8.83   -1.65   0.1712
8.84   -1.7   0.153
8.85   -1.75   0.1345
8.86   -1.8   0.1156
8.87   -1.85   0.09645
8.88   -1.9   0.07699
8.89   -1.95   0.05722
8.9   -2   0.03715
8.91   -2.05   0.01678
8.92   -2.1   -0.003891
8.93   -2.15   -0.02485
8.94   -2.2   -0.0461
8.95   -2.25   -0.06764
8.96   -2.3   -0.08947
8.97   -2.35   -0.1116
8.98   -2.4   -0.134
8.99   -2.45   -0.1566
9   -2.5   -0.1796
9.01   -2.45   -0.2028
9.02   -2.4   -0.2252
9.03   -2.35   -0.247
9.04   -2.3   -0.268
9.05   -2.25   -0.2883
9.06   -2.2   -0.3079
9.07   -2.15   -0.3269
9.08   -2.1   -0.3451
9.09   -2.05   -0.3626
9.1   -2   -0.3795
9.11   -1.95   -0.3957
9.12   -1.9   -0.4113
9.13   -1.85   -0.4262
9.14   -1.8   -0.4404
9.15   -1.75   -0.454
9.16   -1.7   -0.4669
9.17   -1.65   -0.4793
9.18   -1.6   -0.491
9.19   -1.55   -0.5021
9.2   -1.5   -0.5126
9.21   -1.45   -0.5224
9.22   -1.4   -0.5317
9.23   -1.35   -0.5404
9.24   -1.3   -0.5485
9.25   -1.25   -0.556
9.26   -1.2   -0.5629
9.27   -1.15   -0.5693
9.28   -1.1   -0.5751
9.29   -1.05   -0.5804
9.3   -1   -0.5851
9.31   -0.95   -0.5892
9.32   -0.9   -0.5928
9.33   -0.85   -0.5959
