#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Choix des valeurs pour le circuit suivant :
#_____/\/\/\____|\______________  
#|      Rd      |/       |     |
#|                 D     /    _|_
#E                     R \    --- C 
#|                       /     |
#|_______________________|_____|
#Valeur de Rd (Ohm) : 
#Valeur de R (Ohm) : 
#Valeur de C (Farad) : 
#Temps   Ve   Vs   Vd
#Diode passante
4.53   5   2.198   4.996
4.54   5   2.198   4.996
4.55   5   2.198   4.996
4.56   5   2.198   4.997
4.57   5   2.198   4.997
4.58   5   2.198   4.997
4.59   5   2.198   4.997
4.6   5   2.198   4.997
4.61   5   2.198   4.997
4.62   5   2.199   4.997
4.63   5   2.199   4.997
4.64   5   2.199   4.997
4.65   5   2.199   4.997
4.66   5   2.199   4.997
4.67   5   2.199   4.997
4.68   5   2.199   4.997
4.69   5   2.199   4.997
4.7   5   2.199   4.997
4.71   5   2.199   4.997
4.72   5   2.199   4.997
4.73   5   2.199   4.998
4.74   5   2.199   4.998
4.75   5   2.199   4.998
4.76   5   2.199   4.998
4.77   5   2.199   4.998
4.78   5   2.199   4.998
4.79   5   2.199   4.998
4.8   5   2.199   4.998
4.81   5   2.199   4.998
4.82   5   2.199   4.998
4.83   5   2.199   4.998
4.84   5   2.199   4.998
4.85   5   2.199   4.998
4.86   5   2.199   4.998
4.87   5   2.199   4.998
4.88   5   2.199   4.998
4.89   5   2.199   4.998
4.9   5   2.199   4.998
4.91   5   2.199   4.998
4.92   5   2.199   4.998
4.93   5   2.199   4.998
4.94   5   2.199   4.998
4.95   5   2.199   4.998
4.96   5   2.199   4.998
4.97   5   2.199   4.998
4.98   5   2.199   4.999
4.99   5   2.199   4.999
5   5   2.199   4.999
5.01   5   2.199   4.999
5.02   5   2.199   4.999
