#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Choix des valeurs pour le circuit suivant :
#_____/\/\/\____|\______________  
#|      Rd      |/       |     |
#|                 D     /    _|_
#E                     R \    --- C 
#|                       /     |
#|_______________________|_____|
#Valeur de Rd (Ohm) : 
#Valeur de R (Ohm) : 
#Valeur de C (Farad) : 
#Temps   Ve   Vs   Vd
#Diode passante
2.85   -1.75   -0.0007264   -1.751
2.86   -1.8   -0.0007191   -1.801
2.87   -1.85   -0.0007119   -1.851
2.88   -1.9   -0.0007048   -1.901
2.89   -1.95   -0.0006978   -1.951
2.9   -2   -0.0006908   -2.001
2.91   -2.05   -0.0006839   -2.051
2.92   -2.1   -0.000677   -2.101
2.93   -2.15   -0.0006703   -2.151
2.94   -2.2   -0.0006636   -2.201
2.95   -2.25   -0.0006569   -2.251
2.96   -2.3   -0.0006504   -2.301
2.97   -2.35   -0.0006439   -2.351
2.98   -2.4   -0.0006374   -2.401
2.99   -2.45   -0.000631   -2.451
3   -2.5   -0.0006247   -2.501
3.01   -2.45   -0.0006185   -2.451
3.02   -2.4   -0.0006123   -2.401
3.03   -2.35   -0.0006062   -2.351
3.04   -2.3   -0.0006001   -2.301
3.05   -2.25   -0.0005941   -2.251
3.06   -2.2   -0.0005882   -2.201
3.07   -2.15   -0.0005823   -2.151
3.08   -2.1   -0.0005765   -2.101
3.09   -2.05   -0.0005707   -2.051
3.1   -2   -0.000565   -2.001
3.11   -1.95   -0.0005593   -1.951
3.12   -1.9   -0.0005537   -1.901
3.13   -1.85   -0.0005482   -1.851
3.14   -1.8   -0.0005427   -1.801
3.15   -1.75   -0.0005373   -1.751
3.16   -1.7   -0.0005319   -1.701
3.17   -1.65   -0.0005266   -1.651
3.18   -1.6   -0.0005213   -1.601
3.19   -1.55   -0.0005161   -1.551
3.2   -1.5   -0.000511   -1.501
3.21   -1.45   -0.0005059   -1.451
3.22   -1.4   -0.0005008   -1.401
3.23   -1.35   -0.0004958   -1.351
3.24   -1.3   -0.0004908   -1.3
3.25   -1.25   -0.0004859   -1.25
3.26   -1.2   -0.0004811   -1.2
3.27   -1.15   -0.0004763   -1.15
3.28   -1.1   -0.0004715   -1.1
3.29   -1.05   -0.0004668   -1.05
3.3   -1   -0.0004621   -1
3.31   -0.95   -0.0004575   -0.9505
3.32   -0.9   -0.0004529   -0.9005
3.33   -0.85   -0.0004484   -0.8505
3.34   -0.8   -0.0004439   -0.8004
3.35   -0.75   -0.0004395   -0.7504
3.36   -0.7   -0.0004351   -0.7004
3.37   -0.65   -0.0004307   -0.6504
3.38   -0.6   -0.0004264   -0.6004
3.39   -0.55   -0.0004221   -0.5504
3.4   -0.5   -0.0004179   -0.5004
3.41   -0.45   -0.0004137   -0.4504
3.42   -0.4   -0.0004096   -0.4004
3.43   -0.35   -0.0004055   -0.3504
3.44   -0.3   -0.0004015   -0.3004
3.45   -0.25   -0.0003974   -0.2504
3.46   -0.2   -0.0003935   -0.2004
3.47   -0.15   -0.0003895   -0.1504
3.48   -0.1   -0.0003856   -0.1004
3.49   -0.05   -0.0003818   -0.05039
3.5   -1.532e-13   -0.000378   -0.0003818
3.51   0.05   -0.0003742   0.04962
3.52   0.1   -0.0003704   0.09963
3.53   0.15   -0.0003667   0.1496
3.54   0.2   -0.0003631   0.1996
3.55   0.25   -0.0003594   0.2496
3.56   0.3   -0.0003558   0.2996
3.57   0.35   -0.0003523   0.3496
3.58   0.4   -0.0003488   0.3996
3.59   0.45   -0.0003453   0.4497
3.6   0.5   -0.0003418   0.4997
3.61   0.55   -0.0003384   0.5497
3.62   0.6   -0.000335   0.5997
3.63   0.65   -0.0003317   0.6497
#Diode passante
3.64   0.7   0.000175   0.6493
3.65   0.75   0.001171   0.6503
3.66   0.8   0.002648   0.6523
3.67   0.85   0.004595   0.6553
3.68   0.9   0.007003   0.6592
3.69   0.95   0.009863   0.664
3.7   1   0.01317   0.6697
3.71   1.05   0.0169   0.6763
3.72   1.1   0.02106   0.6838
3.73   1.15   0.02564   0.6921
3.74   1.2   0.03063   0.7013
3.75   1.25   0.03602   0.7113
3.76   1.3   0.0418   0.722
3.77   1.35   0.04796   0.7336
3.78   1.4   0.0545   0.7459
3.79   1.45   0.06141   0.759
3.8   1.5   0.06868   0.7728
3.81   1.55   0.07631   0.7874
3.82   1.6   0.08428   0.8026
3.83   1.65   0.0926   0.8186
3.84   1.7   0.1012   0.8352
3.85   1.75   0.1102   0.8525
3.86   1.8   0.1195   0.8704
3.87   1.85   0.1291   0.889
3.88   1.9   0.139   0.9083
3.89   1.95   0.1493   0.9281
3.9   2   0.1598   0.9485
3.91   2.05   0.1706   0.9696
3.92   2.1   0.1817   0.9912
3.93   2.15   0.193   1.013
3.94   2.2   0.2047   1.036
3.95   2.25   0.2166   1.059
3.96   2.3   0.2288   1.083
3.97   2.35   0.2412   1.108
3.98   2.4   0.2539   1.132
3.99   2.45   0.2668   1.158
4   2.5   0.2799   1.184
4.01   2.45   0.2933   1.11
4.02   2.4   0.306   1.137
4.03   2.35   0.3179   1.162
4.04   2.3   0.329   1.186
4.05   2.25   0.3394   1.208
4.06   2.2   0.3491   1.229
4.07   2.15   0.3581   1.248
4.08   2.1   0.3665   1.266
4.09   2.05   0.3742   1.283
4.1   2   0.3812   1.298
4.11   1.95   0.3875   1.312
4.12   1.9   0.3933   1.325
4.13   1.85   0.3984   1.337
4.14   1.8   0.403   1.347
4.15   1.75   0.4069   1.356
4.16   1.7   0.4103   1.364
4.17   1.65   0.4131   1.371
