#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Choix des valeurs pour le circuit suivant :
#_____/\/\/\____  
#|      R      _|_
#E           C ---
#|______________|
#Valeur de R (Ohm) : 
#Valeur de C (Farad) : 
#Temps   Ve   Vs   
4.87   0   2.056
4.88   0   2.035
4.89   0   2.015
4.9   0   1.995
4.91   0   1.975
4.92   0   1.955
4.93   0   1.935
4.94   0   1.916
4.95   0   1.897
4.96   0   1.878
4.97   0   1.859
4.98   0   1.841
4.99   0   1.822
5   0   1.804
5.01   5   1.786
5.02   5   1.818
5.03   5   1.85
5.04   5   1.881
5.05   5   1.913
5.06   5   1.943
5.07   5   1.974
5.08   5   2.004
5.09   5   2.034
5.1   5   2.064
5.11   5   2.093
5.12   5   2.122
5.13   5   2.151
5.14   5   2.18
5.15   5   2.208
5.16   5   2.236
5.17   5   2.263
5.18   5   2.291
5.19   5   2.318
5.2   5   2.345
5.21   5   2.371
5.22   5   2.397
5.23   5   2.423
5.24   5   2.449
5.25   5   2.475
5.26   5   2.5
5.27   5   2.525
5.28   5   2.55
5.29   5   2.574
5.3   5   2.599
5.31   5   2.623
5.32   5   2.646
5.33   5   2.67
5.34   5   2.693
5.35   5   2.716
5.36   5   2.739
5.37   5   2.762
5.38   5   2.784
5.39   5   2.806
5.4   5   2.828
5.41   5   2.85
5.42   5   2.871
5.43   5   2.893
5.44   5   2.914
5.45   5   2.935
5.46   5   2.955
5.47   5   2.976
5.48   5   2.996
5.49   5   3.016
5.5   5   3.036
5.51   5   3.055
5.52   5   3.075
5.53   5   3.094
5.54   5   3.113
5.55   5   3.132
5.56   5   3.151
5.57   5   3.169
5.58   5   3.188
5.59   5   3.206
5.6   5   3.224
5.61   5   3.241
5.62   5   3.259
5.63   5   3.276
5.64   5   3.294
5.65   5   3.311
5.66   5   3.328
5.67   5   3.344
5.68   5   3.361
5.69   5   3.377
5.7   5   3.393
5.71   5   3.41
5.72   5   3.425
5.73   5   3.441
5.74   5   3.457
5.75   5   3.472
5.76   5   3.487
5.77   5   3.503
5.78   5   3.518
5.79   5   3.532
5.8   5   3.547
5.81   5   3.562
5.82   5   3.576
5.83   5   3.59
5.84   5   3.604
5.85   5   3.618
5.86   5   3.632
5.87   5   3.646
5.88   5   3.659
5.89   5   3.673
5.9   5   3.686
5.91   5   3.699
5.92   5   3.712
5.93   5   3.725
5.94   5   3.738
5.95   5   3.75
5.96   5   3.763
5.97   5   3.775
5.98   5   3.788
5.99   5   3.8
6   5   3.812
6.01   5   3.824
6.02   5   3.835
6.03   5   3.847
6.04   5   3.858
6.05   5   3.87
6.06   5   3.881
6.07   5   3.892
6.08   5   3.903
