#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Valeur de R (Ohm) : 
#Valeur de L (Henry) : 
#Valeur de C (Farad) : 
#Temps   Entree   Sortie-Solution   Sinus(sol exact)   
4.56   -0.3   0.09711   -0.9884
4.57   -0.35   0.1031   -0.9899
4.58   -0.4   0.109   -0.9912
4.59   -0.45   0.1148   -0.9925
4.6   -0.5   0.1205   -0.9937
4.61   -0.55   0.1261   -0.9948
4.62   -0.6   0.1316   -0.9957
4.63   -0.65   0.1369   -0.9966
4.64   -0.7   0.1421   -0.9974
4.65   -0.75   0.1472   -0.9981
4.66   -0.8   0.1521   -0.9986
4.67   -0.85   0.1569   -0.9991
4.68   -0.9   0.1616   -0.9995
4.69   -0.95   0.1661   -0.9997
4.7   -1   0.1705   -0.9999
4.71   -1.05   0.1747   -1
4.72   -1.1   0.1788   -1
4.73   -1.15   0.1826   -0.9998
4.74   -1.2   0.1864   -0.9996
4.75   -1.25   0.1899   -0.9993
4.76   -1.3   0.1933   -0.9989
4.77   -1.35   0.1965   -0.9983
4.78   -1.4   0.1995   -0.9977
4.79   -1.45   0.2023   -0.997
4.8   -1.5   0.205   -0.9962
4.81   -1.55   0.2074   -0.9952
4.82   -1.6   0.2097   -0.9942
4.83   -1.65   0.2118   -0.9931
4.84   -1.7   0.2136   -0.9919
4.85   -1.75   0.2153   -0.9905
4.86   -1.8   0.2167   -0.9891
4.87   -1.85   0.218   -0.9876
4.88   -1.9   0.219   -0.986
4.89   -1.95   0.2198   -0.9843
4.9   -2   0.2204   -0.9825
4.91   -2.05   0.2207   -0.9805
4.92   -2.1   0.2209   -0.9785
4.93   -2.15   0.2208   -0.9764
4.94   -2.2   0.2204   -0.9742
4.95   -2.25   0.2199   -0.9719
4.96   -2.3   0.2191   -0.9695
4.97   -2.35   0.2181   -0.967
4.98   -2.4   0.2168   -0.9644
4.99   -2.45   0.2153   -0.9617
5   -2.5   0.2135   -0.9589
5.01   -2.45   0.2115   -0.956
5.02   -2.4   0.2092   -0.9531
5.03   -2.35   0.2067   -0.95
5.04   -2.3   0.204   -0.9468
5.05   -2.25   0.201   -0.9435
5.06   -2.2   0.1978   -0.9402
5.07   -2.15   0.1944   -0.9367
5.08   -2.1   0.1908   -0.9332
5.09   -2.05   0.187   -0.9295
5.1   -2   0.183   -0.9258
5.11   -1.95   0.1788   -0.922
5.12   -1.9   0.1744   -0.9181
5.13   -1.85   0.1699   -0.9141
5.14   -1.8   0.1652   -0.91
5.15   -1.75   0.1603   -0.9058
5.16   -1.7   0.1553   -0.9015
5.17   -1.65   0.1502   -0.8971
5.18   -1.6   0.1449   -0.8926
5.19   -1.55   0.1395   -0.8881
5.2   -1.5   0.134   -0.8835
5.21   -1.45   0.1284   -0.8787
5.22   -1.4   0.1226   -0.8739
5.23   -1.35   0.1168   -0.869
5.24   -1.3   0.1109   -0.864
5.25   -1.25   0.1048   -0.8589
5.26   -1.2   0.09874   -0.8538
5.27   -1.15   0.09256   -0.8485
5.28   -1.1   0.08632   -0.8432
5.29   -1.05   0.08001   -0.8378
