#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Choix des valeurs pour le circuit suivant :
#_____/\/\/\____|\______________  
#|      Rd      |/       |     |
#|                 D     /    _|_
#E                     R \    --- C 
#|                       /     |
#|_______________________|_____|
#Valeur de Rd (Ohm) : 
#Valeur de R (Ohm) : 
#Valeur de C (Farad) : 
#Temps   Ve   Vs   Vd
#Diode passante
5.64   5   1.63   3.838
5.65   5   1.642   3.861
5.66   5   1.653   3.884
5.67   5   1.664   3.906
5.68   5   1.675   3.928
5.69   5   1.685   3.949
5.7   5   1.695   3.97
5.71   5   1.706   3.991
5.72   5   1.715   4.011
5.73   5   1.725   4.031
5.74   5   1.735   4.05
5.75   5   1.744   4.069
5.76   5   1.753   4.088
5.77   5   1.762   4.106
5.78   5   1.771   4.124
5.79   5   1.779   4.141
5.8   5   1.788   4.159
5.81   5   1.796   4.175
5.82   5   1.804   4.192
5.83   5   1.812   4.208
5.84   5   1.82   4.224
5.85   5   1.827   4.239
5.86   5   1.835   4.255
5.87   5   1.842   4.27
5.88   5   1.849   4.284
5.89   5   1.856   4.299
5.9   5   1.863   4.313
5.91   5   1.87   4.326
5.92   5   1.876   4.34
5.93   5   1.883   4.353
5.94   5   1.889   4.366
5.95   5   1.896   4.379
5.96   5   1.902   4.391
5.97   5   1.908   4.403
5.98   5   1.913   4.415
5.99   5   1.919   4.427
6   5   1.925   4.438
6.01   5   1.93   4.45
6.02   5   1.936   4.461
6.03   5   1.941   4.471
6.04   5   1.946   4.482
6.05   5   1.951   4.492
6.06   5   1.956   4.502
6.07   5   1.961   4.512
6.08   5   1.966   4.522
6.09   5   1.971   4.532
6.1   5   1.975   4.541
6.11   5   1.98   4.55
6.12   5   1.984   4.559
6.13   5   1.988   4.568
6.14   5   1.993   4.577
6.15   5   1.997   4.585
6.16   5   2.001   4.593
6.17   5   2.005   4.602
6.18   5   2.009   4.61
6.19   5   2.012   4.617
6.2   5   2.016   4.625
6.21   0   2.02   -0.3675
#Diode bloquee
6.22   0   2   2.02
#Diode passante
6.23   0   1.954   4.599
6.24   0   1.909   4.507
6.25   0   1.864   4.417
6.26   0   1.821   4.329
6.27   0   1.779   4.242
6.28   0   1.737   4.158
6.29   0   1.696   4.074
6.3   0   1.657   3.993
6.31   0   1.617   3.913
6.32   0   1.579   3.835
6.33   0   1.541   3.758
6.34   0   1.505   3.683
6.35   0   1.469   3.609
6.36   0   1.433   3.537
6.37   0   1.399   3.466
6.38   0   1.365   3.397
6.39   0   1.331   3.329
6.4   0   1.299   3.262
6.41   0   1.267   3.197
6.42   0   1.235   3.133
6.43   0   1.205   3.071
6.44   0   1.175   3.009
6.45   0   1.145   2.949
6.46   0   1.116   2.89
6.47   0   1.088   2.832
6.48   0   1.06   2.776
6.49   0   1.033   2.72
6.5   0   1.006   2.666
6.51   0   0.9801   2.612
6.52   0   0.9545   2.56
6.53   0   0.9294   2.509
6.54   0   0.9048   2.459
6.55   0   0.8807   2.41
6.56   0   0.8571   2.361
6.57   0   0.8339   2.314
6.58   0   0.8113   2.268
6.59   0   0.789   2.223
6.6   0   0.7673   2.178
6.61   0   0.7459   2.135
6.62   0   0.725   2.092
6.63   0   0.7045   2.05
6.64   0   0.6844   2.009
6.65   0   0.6647   1.969
6.66   0   0.6454   1.929
6.67   0   0.6265   1.891
6.68   0   0.608   1.853
6.69   0   0.5898   1.816
6.7   0   0.572   1.78
6.71   0   0.5546   1.744
6.72   0   0.5375   1.709
6.73   0   0.5207   1.675
6.74   0   0.5043   1.641
6.75   0   0.4882   1.609
6.76   0   0.4725   1.576
6.77   0   0.457   1.545
6.78   0   0.4419   1.514
6.79   0   0.427   1.484
6.8   0   0.4125   1.454
6.81   0   0.3983   1.425
6.82   0   0.3843   1.397
6.83   0   0.3706   1.369
6.84   0   0.3572   1.341
6.85   0   0.344   1.314
6.86   0   0.3312   1.288
6.87   0   0.3185   1.262
6.88   0   0.3062   1.237
6.89   0   0.294   1.212
6.9   0   0.2822   1.188
6.91   0   0.2705   1.164
6.92   0   0.2591   1.141
6.93   0   0.2479   1.118
6.94   0   0.237   1.096
6.95   0   0.2262   1.074
6.96   0   0.2157   1.052
6.97   0   0.2054   1.031
6.98   0   0.1953   1.011
6.99   0   0.1854   0.9906
7   0   0.1757   0.9708
7.01   5   0.1662   5.951
7.02   5   0.2068   0.9323
7.03   5   0.2467   1.014
7.04   5   0.2858   1.093
7.05   5   0.3241   1.172
7.06   5   0.3616   1.248
7.07   5   0.3983   1.323
7.08   5   0.4344   1.397
7.09   5   0.4697   1.469
7.1   5   0.5043   1.539
7.11   5   0.5382   1.609
7.12   5   0.5714   1.676
7.13   5   0.604   1.743
7.14   5   0.6359   1.808
7.15   5   0.6672   1.872
7.16   5   0.6979   1.934
7.17   5   0.7279   1.996
7.18   5   0.7574   2.056
7.19   5   0.7862   2.115
7.2   5   0.8145   2.172
7.21   5   0.8422   2.229
