#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Valeur de R (Ohm) : 
#Valeur de L (Henry) : 
#Valeur de C (Farad) : 
#Temps   ESM   Vs   
5.59   5   0.3512
5.6   5   0.3705
5.61   5   0.3895
5.62   5   0.4083
5.63   5   0.4269
5.64   5   0.4453
5.65   5   0.4634
5.66   5   0.4813
5.67   5   0.499
5.68   5   0.5164
5.69   5   0.5337
5.7   5   0.5507
5.71   5   0.5674
5.72   5   0.584
5.73   5   0.6003
5.74   5   0.6164
5.75   5   0.6323
5.76   5   0.648
5.77   5   0.6635
5.78   5   0.6787
5.79   5   0.6937
5.8   5   0.7085
5.81   5   0.7231
5.82   5   0.7374
5.83   5   0.7516
5.84   5   0.7655
5.85   5   0.7792
5.86   5   0.7927
5.87   5   0.806
5.88   5   0.8191
5.89   5   0.832
5.9   5   0.8446
5.91   5   0.8571
5.92   5   0.8693
5.93   5   0.8813
5.94   5   0.8932
5.95   5   0.9048
5.96   5   0.9162
5.97   5   0.9274
5.98   5   0.9384
5.99   5   0.9492
6   5   0.9598
6.01   5   0.9702
6.02   5   0.9804
6.03   5   0.9904
6.04   5   1
6.05   5   1.01
6.06   5   1.019
6.07   5   1.028
6.08   5   1.037
6.09   5   1.046
6.1   5   1.055
6.11   5   1.063
6.12   5   1.072
6.13   5   1.08
6.14   5   1.088
6.15   5   1.095
6.16   5   1.103
6.17   5   1.11
6.18   5   1.117
6.19   5   1.124
6.2   5   1.131
6.21   0   1.137
6.22   0   1.144
6.23   0   1.1
6.24   0   1.057
6.25   0   1.014
6.26   0   0.9708
6.27   0   0.9283
6.28   0   0.8862
6.29   0   0.8443
6.3   0   0.8029
6.31   0   0.7617
6.32   0   0.7209
6.33   0   0.6804
6.34   0   0.6402
6.35   0   0.6004
6.36   0   0.5609
6.37   0   0.5218
6.38   0   0.483
6.39   0   0.4445
6.4   0   0.4063
6.41   0   0.3685
6.42   0   0.3311
6.43   0   0.2939
6.44   0   0.2571
6.45   0   0.2207
6.46   0   0.1846
6.47   0   0.1488
6.48   0   0.1134
6.49   0   0.07826
6.5   0   0.0435
6.51   0   0.009085
6.52   0   -0.02499
6.53   0   -0.05873
6.54   0   -0.09213
6.55   0   -0.1252
6.56   0   -0.1579
6.57   0   -0.1903
6.58   0   -0.2223
6.59   0   -0.254
6.6   0   -0.2854
6.61   0   -0.3164
6.62   0   -0.3471
6.63   0   -0.3774
6.64   0   -0.4075
6.65   0   -0.4371
6.66   0   -0.4665
6.67   0   -0.4954
6.68   0   -0.5241
6.69   0   -0.5524
6.7   0   -0.5804
6.71   0   -0.6081
6.72   0   -0.6354
6.73   0   -0.6624
6.74   0   -0.689
6.75   0   -0.7153
6.76   0   -0.7413
6.77   0   -0.767
6.78   0   -0.7923
6.79   0   -0.8173
6.8   0   -0.8419
6.81   0   -0.8663
6.82   0   -0.8903
6.83   0   -0.914
6.84   0   -0.9373
6.85   0   -0.9604
6.86   0   -0.9831
6.87   0   -1.005
6.88   0   -1.028
6.89   0   -1.049
6.9   0   -1.071
6.91   0   -1.092
6.92   0   -1.113
6.93   0   -1.133
6.94   0   -1.153
6.95   0   -1.173
6.96   0   -1.193
6.97   0   -1.212
6.98   0   -1.231
6.99   0   -1.249
7   0   -1.267
7.01   5   -1.285
7.02   5   -1.303
7.03   5   -1.27
7.04   5   -1.238
7.05   5   -1.206
7.06   5   -1.174
7.07   5   -1.142
7.08   5   -1.11
7.09   5   -1.079
7.1   5   -1.048
7.11   5   -1.017
7.12   5   -0.9857
7.13   5   -0.9551
7.14   5   -0.9246
7.15   5   -0.8944
7.16   5   -0.8644
7.17   5   -0.8346
7.18   5   -0.8051
7.19   5   -0.7757
7.2   5   -0.7466
7.21   5   -0.7176
7.22   5   -0.6889
7.23   5   -0.6604
7.24   5   -0.6321
7.25   5   -0.604
7.26   5   -0.5762
7.27   5   -0.5485
7.28   5   -0.5211
7.29   5   -0.4939
7.3   5   -0.4669
7.31   5   -0.4402
7.32   5   -0.4136
7.33   5   -0.3873
7.34   5   -0.3612
7.35   5   -0.3353
7.36   5   -0.3097
7.37   5   -0.2842
7.38   5   -0.259
7.39   5   -0.2341
7.4   5   -0.2093
7.41   5   -0.1848
7.42   5   -0.1605
7.43   5   -0.1364
7.44   5   -0.1125
7.45   5   -0.08888
7.46   5   -0.06547
7.47   5   -0.04229
7.48   5   -0.01933
7.49   5   0.003407
7.5   5   0.02592
7.51   5   0.0482
7.52   5   0.07026
7.53   5   0.09209
7.54   5   0.1137
7.55   5   0.1351
7.56   5   0.1562
7.57   5   0.1772
7.58   5   0.1979
7.59   5   0.2184
7.6   5   0.2386
7.61   5   0.2586
7.62   5   0.2785
7.63   5   0.298
7.64   5   0.3174
7.65   5   0.3365
7.66   5   0.3554
7.67   5   0.3741
7.68   5   0.3926
7.69   5   0.4109
7.7   5   0.4289
7.71   5   0.4467
7.72   5   0.4643
7.73   5   0.4816
7.74   5   0.4988
7.75   5   0.5157
7.76   5   0.5324
7.77   5   0.5489
7.78   5   0.5652
7.79   5   0.5812
7.8   5   0.597
7.81   5   0.6126
7.82   5   0.628
7.83   5   0.6432
7.84   5   0.6582
7.85   5   0.673
7.86   5   0.6875
7.87   5   0.7018
7.88   5   0.716
7.89   5   0.7299
7.9   5   0.7436
7.91   5   0.757
7.92   5   0.7703
7.93   5   0.7834
7.94   5   0.7962
7.95   5   0.8089
7.96   5   0.8213
7.97   5   0.8336
7.98   5   0.8456
7.99   5   0.8575
8   5   0.8691
8.01   5   0.8805
8.02   5   0.8917
8.03   5   0.9028
8.04   5   0.9136
8.05   5   0.9242
8.06   5   0.9347
8.07   5   0.9449
8.08   5   0.9549
8.09   5   0.9648
8.1   5   0.9744
8.11   5   0.9839
8.12   5   0.9932
8.13   5   1.002
8.14   5   1.011
8.15   5   1.02
8.16   5   1.028
8.17   5   1.037
8.18   5   1.045
8.19   5   1.053
8.2   5   1.06
8.21   0   1.068
8.22   0   1.075
8.23   0   1.033
8.24   0   0.9902
8.25   0   0.9481
8.26   0   0.9063
8.27   0   0.8648
8.28   0   0.8236
8.29   0   0.7828
8.3   0   0.7422
8.31   0   0.7021
8.32   0   0.6622
8.33   0   0.6227
8.34   0   0.5835
8.35   0   0.5446
8.36   0   0.506
8.37   0   0.4678
8.38   0   0.4299
8.39   0   0.3924
8.4   0   0.3552
8.41   0   0.3183
8.42   0   0.2817
8.43   0   0.2455
8.44   0   0.2096
8.45   0   0.1741
8.46   0   0.1389
8.47   0   0.104
8.48   0   0.06944
8.49   0   0.03523
8.5   0   0.00135
8.51   0   -0.03219
8.52   0   -0.06539
8.53   0   -0.09826
8.54   0   -0.1308
8.55   0   -0.163
8.56   0   -0.1949
8.57   0   -0.2264
8.58   0   -0.2576
8.59   0   -0.2884
8.6   0   -0.319
8.61   0   -0.3492
8.62   0   -0.379
8.63   0   -0.4085
8.64   0   -0.4377
8.65   0   -0.4666
8.66   0   -0.4951
8.67   0   -0.5233
8.68   0   -0.5512
8.69   0   -0.5787
8.7   0   -0.6059
8.71   0   -0.6328
8.72   0   -0.6593
8.73   0   -0.6855
8.74   0   -0.7114
8.75   0   -0.737
8.76   0   -0.7622
8.77   0   -0.7871
8.78   0   -0.8117
8.79   0   -0.836
8.8   0   -0.8599
8.81   0   -0.8835
8.82   0   -0.9068
8.83   0   -0.9297
8.84   0   -0.9524
8.85   0   -0.9747
8.86   0   -0.9967
8.87   0   -1.018
8.88   0   -1.04
8.89   0   -1.061
8.9   0   -1.082
8.91   0   -1.102
8.92   0   -1.122
8.93   0   -1.142
8.94   0   -1.161
8.95   0   -1.181
8.96   0   -1.199
8.97   0   -1.218
8.98   0   -1.236
8.99   0   -1.254
9   0   -1.272
9.01   5   -1.289
9.02   5   -1.306
9.03   5   -1.273
9.04   5   -1.24
9.05   5   -1.207
9.06   5   -1.175
9.07   5   -1.142
9.08   5   -1.11
9.09   5   -1.078
9.1   5   -1.046
9.11   5   -1.015
9.12   5   -0.9831
9.13   5   -0.952
9.14   5   -0.921
9.15   5   -0.8903
9.16   5   -0.8597
9.17   5   -0.8294
9.18   5   -0.7993
9.19   5   -0.7695
9.2   5   -0.7398
9.21   5   -0.7104
9.22   5   -0.6811
9.23   5   -0.6522
9.24   5   -0.6234
9.25   5   -0.5948
9.26   5   -0.5665
9.27   5   -0.5384
9.28   5   -0.5105
9.29   5   -0.4829
9.3   5   -0.4554
9.31   5   -0.4282
9.32   5   -0.4012
9.33   5   -0.3745
9.34   5   -0.348
9.35   5   -0.3217
9.36   5   -0.2956
9.37   5   -0.2698
9.38   5   -0.2442
9.39   5   -0.2188
9.4   5   -0.1936
9.41   5   -0.1687
9.42   5   -0.144
9.43   5   -0.1195
9.44   5   -0.09531
9.45   5   -0.07131
9.46   5   -0.04754
9.47   5   -0.024
9.48   5   -0.0006854
9.49   5   0.02239
9.5   5   0.04524
9.51   5   0.06786
9.52   5   0.09025
9.53   5   0.1124
9.54   5   0.1343
9.55   5   0.156
9.56   5   0.1775
9.57   5   0.1987
9.58   5   0.2197
9.59   5   0.2405
9.6   5   0.2611
9.61   5   0.2814
9.62   5   0.3015
9.63   5   0.3213
9.64   5   0.3409
9.65   5   0.3603
9.66   5   0.3795
9.67   5   0.3985
9.68   5   0.4172
9.69   5   0.4357
9.7   5   0.4539
9.71   5   0.472
9.72   5   0.4898
9.73   5   0.5074
9.74   5   0.5247
9.75   5   0.5419
9.76   5   0.5588
9.77   5   0.5755
9.78   5   0.5919
9.79   5   0.6082
9.8   5   0.6242
9.81   5   0.64
9.82   5   0.6556
9.83   5   0.6709
9.84   5   0.6861
9.85   5   0.701
9.86   5   0.7157
9.87   5   0.7302
9.88   5   0.7445
9.89   5   0.7585
9.9   5   0.7724
9.91   5   0.786
9.92   5   0.7994
9.93   5   0.8126
9.94   5   0.8256
9.95   5   0.8384
9.96   5   0.851
9.97   5   0.8633
9.98   5   0.8755
9.99   5   0.8874
10   5   0.8991
10.01   5   0.9107
