#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Choix des valeurs pour le circuit suivant :
#_____/\/\/\____  
#|      R      _|_
#E           C ---
#|______________|
#Valeur de R (Ohm) : 
#Valeur de C (Farad) : 
#Temps   Ve   Vs   
8   5   4.996
8.01   5   4.996
8.02   5   4.996
8.03   5   4.996
8.04   5   4.996
8.05   5   4.996
8.06   5   4.996
8.07   5   4.996
8.08   5   4.996
8.09   5   4.996
8.1   5   4.996
8.11   5   4.996
8.12   5   4.996
8.13   5   4.996
8.14   5   4.996
8.15   5   4.996
8.16   5   4.996
8.17   5   4.996
8.18   5   4.996
8.19   5   4.996
8.2   5   4.996
8.21   5   4.996
8.22   5   4.996
8.23   5   4.997
8.24   5   4.997
8.25   5   4.997
8.26   5   4.997
8.27   5   4.997
8.28   5   4.997
8.29   5   4.997
8.3   5   4.997
8.31   5   4.997
8.32   5   4.997
8.33   5   4.997
8.34   5   4.997
8.35   5   4.997
8.36   5   4.997
8.37   5   4.997
8.38   5   4.997
8.39   5   4.997
8.4   5   4.997
8.41   5   4.997
8.42   5   4.997
8.43   5   4.997
8.44   5   4.997
8.45   5   4.997
8.46   5   4.997
8.47   5   4.997
8.48   5   4.997
8.49   5   4.997
8.5   5   4.997
8.51   5   4.997
8.52   5   4.997
8.53   5   4.997
8.54   5   4.997
8.55   5   4.997
8.56   5   4.997
8.57   5   4.998
8.58   5   4.998
8.59   5   4.998
8.6   5   4.998
8.61   5   4.998
8.62   5   4.998
8.63   5   4.998
8.64   5   4.998
8.65   5   4.998
8.66   5   4.998
8.67   5   4.998
8.68   5   4.998
8.69   5   4.998
8.7   5   4.998
8.71   5   4.998
8.72   5   4.998
8.73   5   4.998
8.74   5   4.998
8.75   5   4.998
8.76   5   4.998
8.77   5   4.998
8.78   5   4.998
8.79   5   4.998
8.8   5   4.998
8.81   5   4.998
8.82   5   4.998
8.83   5   4.998
8.84   5   4.998
8.85   5   4.998
8.86   5   4.998
8.87   5   4.998
8.88   5   4.998
8.89   5   4.998
8.9   5   4.998
8.91   5   4.998
8.92   5   4.998
8.93   5   4.998
8.94   5   4.998
8.95   5   4.998
8.96   5   4.998
8.97   5   4.998
8.98   5   4.998
8.99   5   4.998
9   5   4.998
9.01   5   4.998
9.02   5   4.998
9.03   5   4.998
9.04   5   4.998
9.05   5   4.998
9.06   5   4.998
9.07   5   4.998
9.08   5   4.999
9.09   5   4.999
9.1   5   4.999
9.11   5   4.999
9.12   5   4.999
9.13   5   4.999
9.14   5   4.999
9.15   5   4.999
9.16   5   4.999
9.17   5   4.999
