#Premier Ordre :
#1 - Exemple 1
#2 - Circuit A
#3 - Circuit B
#Deuxième Ordre :
#4 - Exemple 2
#5 - Circuit C
#6 - Circuit D
#Choisir la source ?
#1 - Echelon
#2 - Porte
#3 - Carre
#4 - Triangle
#5 - Rampe f(t)=-3*t (Exemple1)
#6 - Nulle (Exemple 2)
#Valeur de R (Ohm) : 
#Valeur de L (Henry) : 
#Valeur de C (Farad) : 
#Temps   ESM   Vs   
4.56   -0.3   0.8249
4.57   -0.35   0.8161
4.58   -0.4   0.8067
4.59   -0.45   0.7969
4.6   -0.5   0.7866
4.61   -0.55   0.7758
4.62   -0.6   0.7646
4.63   -0.65   0.7528
4.64   -0.7   0.7407
4.65   -0.75   0.728
4.66   -0.8   0.7149
4.67   -0.85   0.7014
4.68   -0.9   0.6875
4.69   -0.95   0.6731
4.7   -1   0.6582
4.71   -1.05   0.643
4.72   -1.1   0.6274
4.73   -1.15   0.6113
4.74   -1.2   0.5948
4.75   -1.25   0.578
4.76   -1.3   0.5607
4.77   -1.35   0.5431
4.78   -1.4   0.5251
4.79   -1.45   0.5067
4.8   -1.5   0.488
4.81   -1.55   0.4689
4.82   -1.6   0.4494
4.83   -1.65   0.4296
4.84   -1.7   0.4094
4.85   -1.75   0.3889
4.86   -1.8   0.368
4.87   -1.85   0.3468
4.88   -1.9   0.3253
4.89   -1.95   0.3035
4.9   -2   0.2814
4.91   -2.05   0.2589
4.92   -2.1   0.2362
4.93   -2.15   0.2131
4.94   -2.2   0.1898
4.95   -2.25   0.1661
4.96   -2.3   0.1422
4.97   -2.35   0.118
4.98   -2.4   0.09357
4.99   -2.45   0.06884
5   -2.5   0.04384
5.01   -2.45   0.01859
5.02   -2.4   -0.00691
5.03   -2.35   -0.03166
5.04   -2.3   -0.05566
5.05   -2.25   -0.07892
5.06   -2.2   -0.1014
5.07   -2.15   -0.1232
5.08   -2.1   -0.1443
5.09   -2.05   -0.1646
5.1   -2   -0.1842
5.11   -1.95   -0.2031
5.12   -1.9   -0.2213
5.13   -1.85   -0.2388
5.14   -1.8   -0.2556
5.15   -1.75   -0.2717
5.16   -1.7   -0.2872
5.17   -1.65   -0.3019
5.18   -1.6   -0.316
5.19   -1.55   -0.3293
5.2   -1.5   -0.3421
5.21   -1.45   -0.3541
5.22   -1.4   -0.3655
5.23   -1.35   -0.3763
5.24   -1.3   -0.3864
5.25   -1.25   -0.3959
5.26   -1.2   -0.4048
5.27   -1.15   -0.413
5.28   -1.1   -0.4206
5.29   -1.05   -0.4275
5.3   -1   -0.4339
5.31   -0.95   -0.4397
5.32   -0.9   -0.4448
5.33   -0.85   -0.4494
5.34   -0.8   -0.4534
5.35   -0.75   -0.4567
5.36   -0.7   -0.4595
5.37   -0.65   -0.4618
5.38   -0.6   -0.4634
5.39   -0.55   -0.4646
5.4   -0.5   -0.4651
5.41   -0.45   -0.4651
5.42   -0.4   -0.4645
5.43   -0.35   -0.4634
5.44   -0.3   -0.4618
5.45   -0.25   -0.4597
5.46   -0.2   -0.457
5.47   -0.15   -0.4538
5.48   -0.1   -0.4501
5.49   -0.05   -0.4458
5.5   -3.642e-13   -0.4411
5.51   0.05   -0.4359
5.52   0.1   -0.4302
5.53   0.15   -0.424
5.54   0.2   -0.4173
5.55   0.25   -0.4101
5.56   0.3   -0.4025
5.57   0.35   -0.3944
5.58   0.4   -0.3858
5.59   0.45   -0.3768
5.6   0.5   -0.3674
5.61   0.55   -0.3575
5.62   0.6   -0.3471
5.63   0.65   -0.3364
5.64   0.7   -0.3252
5.65   0.75   -0.3136
5.66   0.8   -0.3015
5.67   0.85   -0.2891
5.68   0.9   -0.2762
5.69   0.95   -0.263
5.7   1   -0.2493
5.71   1.05   -0.2353
5.72   1.1   -0.2209
5.73   1.15   -0.2061
5.74   1.2   -0.1909
5.75   1.25   -0.1754
5.76   1.3   -0.1594
5.77   1.35   -0.1432
5.78   1.4   -0.1266
5.79   1.45   -0.1096
5.8   1.5   -0.09228
5.81   1.55   -0.07464
5.82   1.6   -0.05666
5.83   1.65   -0.03835
5.84   1.7   -0.01972
5.85   1.75   -0.0007689
5.86   1.8   0.01849
5.87   1.85   0.03806
5.88   1.9   0.05793
5.89   1.95   0.0781
5.9   2   0.09856
5.91   2.05   0.1193
5.92   2.1   0.1403
5.93   2.15   0.1616
5.94   2.2   0.1832
5.95   2.25   0.2051
5.96   2.3   0.2272
5.97   2.35   0.2496
5.98   2.4   0.2722
5.99   2.45   0.2951
6   2.5   0.3182
6.01   2.45   0.3415
6.02   2.4   0.3651
6.03   2.35   0.3879
6.04   2.3   0.41
6.05   2.25   0.4313
6.06   2.2   0.4518
6.07   2.15   0.4716
6.08   2.1   0.4907
6.09   2.05   0.509
6.1   2   0.5266
6.11   1.95   0.5434
6.12   1.9   0.5596
6.13   1.85   0.575
6.14   1.8   0.5897
6.15   1.75   0.6037
6.16   1.7   0.617
6.17   1.65   0.6296
6.18   1.6   0.6415
6.19   1.55   0.6528
6.2   1.5   0.6633
6.21   1.45   0.6732
6.22   1.4   0.6825
6.23   1.35   0.691
6.24   1.3   0.699
6.25   1.25   0.7062
6.26   1.2   0.7128
6.27   1.15   0.7188
6.28   1.1   0.7242
6.29   1.05   0.7289
6.3   1   0.733
6.31   0.95   0.7365
6.32   0.9   0.7394
6.33   0.85   0.7417
6.34   0.8   0.7434
6.35   0.75   0.7445
6.36   0.7   0.745
6.37   0.65   0.7449
6.38   0.6   0.7443
6.39   0.55   0.7431
6.4   0.5   0.7413
6.41   0.45   0.739
6.42   0.4   0.7361
6.43   0.35   0.7327
6.44   0.3   0.7287
6.45   0.25   0.7242
6.46   0.2   0.7192
6.47   0.15   0.7136
6.48   0.1   0.7076
6.49   0.05   0.701
6.5   4.707e-13   0.6939
6.51   -0.05   0.6864
6.52   -0.1   0.6783
6.53   -0.15   0.6697
6.54   -0.2   0.6607
6.55   -0.25   0.6512
6.56   -0.3   0.6412
6.57   -0.35   0.6307
6.58   -0.4   0.6198
6.59   -0.45   0.6084
6.6   -0.5   0.5966
6.61   -0.55   0.5844
6.62   -0.6   0.5717
6.63   -0.65   0.5585
6.64   -0.7   0.545
6.65   -0.75   0.531
6.66   -0.8   0.5166
6.67   -0.85   0.5018
6.68   -0.9   0.4866
6.69   -0.95   0.471
6.7   -1   0.455
6.71   -1.05   0.4386
6.72   -1.1   0.4219
6.73   -1.15   0.4047
6.74   -1.2   0.3872
6.75   -1.25   0.3694
6.76   -1.3   0.3511
6.77   -1.35   0.3325
6.78   -1.4   0.3136
6.79   -1.45   0.2943
6.8   -1.5   0.2747
6.81   -1.55   0.2548
6.82   -1.6   0.2345
6.83   -1.65   0.2139
6.84   -1.7   0.1929
6.85   -1.75   0.1717
6.86   -1.8   0.1502
6.87   -1.85   0.1283
6.88   -1.9   0.1062
6.89   -1.95   0.08376
6.9   -2   0.06104
6.91   -2.05   0.03805
6.92   -2.1   0.01477
6.93   -2.15   -0.008772
6.94   -2.2   -0.03258
6.95   -2.25   -0.05666
6.96   -2.3   -0.08098
6.97   -2.35   -0.1056
6.98   -2.4   -0.1304
6.99   -2.45   -0.1555
7   -2.5   -0.1808
7.01   -2.45   -0.2063
7.02   -2.4   -0.2321
7.03   -2.35   -0.257
7.04   -2.3   -0.2812
7.05   -2.25   -0.3047
7.06   -2.2   -0.3274
7.07   -2.15   -0.3493
7.08   -2.1   -0.3705
7.09   -2.05   -0.3909
7.1   -2   -0.4106
7.11   -1.95   -0.4295
7.12   -1.9   -0.4477
7.13   -1.85   -0.4652
7.14   -1.8   -0.482
7.15   -1.75   -0.498
7.16   -1.7   -0.5134
7.17   -1.65   -0.528
7.18   -1.6   -0.542
7.19   -1.55   -0.5552
7.2   -1.5   -0.5678
7.21   -1.45   -0.5797
7.22   -1.4   -0.5909
7.23   -1.35   -0.6014
7.24   -1.3   -0.6113
7.25   -1.25   -0.6205
7.26   -1.2   -0.6291
7.27   -1.15   -0.637
7.28   -1.1   -0.6443
7.29   -1.05   -0.6509
7.3   -1   -0.6569
7.31   -0.95   -0.6623
7.32   -0.9   -0.6671
7.33   -0.85   -0.6712
7.34   -0.8   -0.6748
7.35   -0.75   -0.6777
7.36   -0.7   -0.68
7.37   -0.65   -0.6818
7.38   -0.6   -0.683
7.39   -0.55   -0.6835
7.4   -0.5   -0.6836
7.41   -0.45   -0.683
7.42   -0.4   -0.6819
7.43   -0.35   -0.6802
7.44   -0.3   -0.678
7.45   -0.25   -0.6752
7.46   -0.2   -0.6719
7.47   -0.15   -0.668
7.48   -0.1   -0.6636
7.49   -0.05   -0.6587
7.5   -5.773e-13   -0.6533
7.51   0.05   -0.6474
7.52   0.1   -0.641
7.53   0.15   -0.634
7.54   0.2   -0.6266
7.55   0.25   -0.6187
7.56   0.3   -0.6103
7.57   0.35   -0.6014
7.58   0.4   -0.592
7.59   0.45   -0.5822
7.6   0.5   -0.5719
7.61   0.55   -0.5612
7.62   0.6   -0.55
7.63   0.65   -0.5384
7.64   0.7   -0.5263
7.65   0.75   -0.5138
7.66   0.8   -0.5009
7.67   0.85   -0.4875
7.68   0.9   -0.4737
7.69   0.95   -0.4596
7.7   1   -0.445
7.71   1.05   -0.43
7.72   1.1   -0.4146
7.73   1.15   -0.3988
7.74   1.2   -0.3827
7.75   1.25   -0.3662
7.76   1.3   -0.3493
7.77   1.35   -0.332
7.78   1.4   -0.3143
7.79   1.45   -0.2964
7.8   1.5   -0.278
7.81   1.55   -0.2593
7.82   1.6   -0.2403
7.83   1.65   -0.2209
7.84   1.7   -0.2012
7.85   1.75   -0.1812
7.86   1.8   -0.1609
7.87   1.85   -0.1402
7.88   1.9   -0.1193
7.89   1.95   -0.09798
7.9   2   -0.07641
7.91   2.05   -0.05455
7.92   2.1   -0.0324
7.93   2.15   -0.00996
7.94   2.2   0.01275
7.95   2.25   0.03574
7.96   2.3   0.059
7.97   2.35   0.08252
7.98   2.4   0.1063
7.99   2.45   0.1303
8   2.5   0.1546
8.01   2.45   0.1791
8.02   2.4   0.2039
8.03   2.35   0.2279
8.04   2.3   0.2512
8.05   2.25   0.2736
8.06   2.2   0.2954
8.07   2.15   0.3164
8.08   2.1   0.3366
8.09   2.05   0.3561
8.1   2   0.3749
8.11   1.95   0.393
8.12   1.9   0.4103
8.13   1.85   0.427
8.14   1.8   0.4429
8.15   1.75   0.4581
8.16   1.7   0.4726
8.17   1.65   0.4865
8.18   1.6   0.4996
8.19   1.55   0.5121
8.2   1.5   0.5239
8.21   1.45   0.535
8.22   1.4   0.5455
8.23   1.35   0.5553
8.24   1.3   0.5645
8.25   1.25   0.573
8.26   1.2   0.5808
8.27   1.15   0.5881
8.28   1.1   0.5947
8.29   1.05   0.6006
8.3   1   0.606
8.31   0.95   0.6107
8.32   0.9   0.6149
8.33   0.85   0.6184
8.34   0.8   0.6213
8.35   0.75   0.6237
8.36   0.7   0.6254
8.37   0.65   0.6266
8.38   0.6   0.6272
8.39   0.55   0.6272
8.4   0.5   0.6267
8.41   0.45   0.6256
8.42   0.4   0.624
8.43   0.35   0.6218
8.44   0.3   0.6191
8.45   0.25   0.6158
8.46   0.2   0.612
8.47   0.15   0.6077
8.48   0.1   0.6029
8.49   0.05   0.5975
8.5   6.839e-13   0.5917
8.51   -0.05   0.5853
8.52   -0.1   0.5785
8.53   -0.15   0.5711
8.54   -0.2   0.5633
8.55   -0.25   0.555
8.56   -0.3   0.5462
8.57   -0.35   0.537
8.58   -0.4   0.5273
8.59   -0.45   0.5171
8.6   -0.5   0.5065
8.61   -0.55   0.4955
8.62   -0.6   0.484
8.63   -0.65   0.472
8.64   -0.7   0.4597
8.65   -0.75   0.4469
8.66   -0.8   0.4337
8.67   -0.85   0.4201
8.68   -0.9   0.406
8.69   -0.95   0.3916
8.7   -1   0.3768
8.71   -1.05   0.3616
8.72   -1.1   0.346
8.73   -1.15   0.33
8.74   -1.2   0.3137
8.75   -1.25   0.2969
8.76   -1.3   0.2799
8.77   -1.35   0.2624
8.78   -1.4   0.2446
8.79   -1.45   0.2265
8.8   -1.5   0.208
8.81   -1.55   0.1891
8.82   -1.6   0.17
8.83   -1.65   0.1505
8.84   -1.7   0.1307
8.85   -1.75   0.1106
8.86   -1.8   0.09012
8.87   -1.85   0.06938
8.88   -1.9   0.04833
8.89   -1.95   0.02699
8.9   -2   0.005353
8.91   -2.05   -0.01657
8.92   -2.1   -0.03877
8.93   -2.15   -0.06125
8.94   -2.2   -0.084
8.95   -2.25   -0.107
8.96   -2.3   -0.1303
8.97   -2.35   -0.1538
8.98   -2.4   -0.1776
8.99   -2.45   -0.2016
9   -2.5   -0.2259
9.01   -2.45   -0.2504
9.02   -2.4   -0.2752
9.03   -2.35   -0.2991
9.04   -2.3   -0.3223
9.05   -2.25   -0.3448
9.06   -2.2   -0.3665
9.07   -2.15   -0.3874
9.08   -2.1   -0.4076
9.09   -2.05   -0.427
9.1   -2   -0.4458
9.11   -1.95   -0.4637
9.12   -1.9   -0.481
9.13   -1.85   -0.4975
9.14   -1.8   -0.5134
9.15   -1.75   -0.5285
9.16   -1.7   -0.5429
9.17   -1.65   -0.5566
9.18   -1.6   -0.5696
9.19   -1.55   -0.582
9.2   -1.5   -0.5936
9.21   -1.45   -0.6046
9.22   -1.4   -0.6149
9.23   -1.35   -0.6246
9.24   -1.3   -0.6336
9.25   -1.25   -0.6419
9.26   -1.2   -0.6496
9.27   -1.15   -0.6567
9.28   -1.1   -0.6631
9.29   -1.05   -0.6689
9.3   -1   -0.6741
9.31   -0.95   -0.6786
9.32   -0.9   -0.6825
9.33   -0.85   -0.6859
9.34   -0.8   -0.6886
9.35   -0.75   -0.6907
9.36   -0.7   -0.6923
9.37   -0.65   -0.6932
9.38   -0.6   -0.6936
9.39   -0.55   -0.6934
9.4   -0.5   -0.6926
9.41   -0.45   -0.6913
9.42   -0.4   -0.6894
